Supplier_Reliability,Equipment_Height,Equipment_Width,Equipment_Weight,Equipment_Value,Base_Transport_Fee,Location_State,Location_Zip,Order_Year,Order_Month,Order_Day,Order_Dow,Order_Quarter,Delivery_Year,Delivery_Month,Delivery_Day,Delivery_Dow,Delivery_Quarter,Delivery_Time,Equipment_Area,Equipment_Density,Equipment_Cost_per_Area,Equipment_Cost_per_Weight,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Unknown,Equipment_Type_Wood,CrossBorder_Shipping_Yes,Urgent_Shipping_Yes,Installation_Service_Yes,Transport_Method_Roadways,Transport_Method_Unknown,Transport_Method_Waterways,Fragile_Equipment_Yes,Hospital_Info_Working Class,Rural_Hospital_Unknown,Rural_Hospital_Yes,Location_Is_Military_Yes,Transport_Cost,Transport_Cost_Log,Target_Shift_Value
0.63,48.0,16.0,286276.02385444904,15.51,71.25,10,2349,2017,3,1,2,1,2017,3,4,5,1,3,768.0,372.75523939381384,0.0201953125,5.4178480583779974e-05,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1691.43,13.28766869232218,588184.2
0.35,30.0,12.0,476.0,3.39,14.84,12,5033,2017,7,6,3,3,2017,7,7,4,3,1,360.0,1.3222222222222222,0.009416666666666667,0.007121848739495799,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,160.97,13.285070778140284,588184.2
0.84,16.0,6.0,2148.0,14.85,14.5,3,1556,2017,4,8,5,2,2017,4,9,6,2,1,96.0,22.375,0.1546875,0.00691340782122905,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,496.28,13.28564053537423,588184.2
0.29,28.0,11.0,1082957.0,4029.79,54.61,21,2860,2019,2,18,0,1,2019,2,19,1,1,1,308.0,3516.094155844156,13.083733766233767,0.0037210988063237967,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,11159.53,13.303592220737658,588184.2
0.62,15.0,7.0,29259.0,98.68,35.08,13,3668,2016,12,10,5,4,2016,12,11,6,4,1,105.0,278.65714285714284,0.9398095238095239,0.0033726374790662705,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,True,False,-5592.07,13.275244331470901,588184.2
0.62,46.0,17.0,1110.0,6.52,15.27,21,3218,2017,4,19,2,2,2017,4,22,5,2,3,782.0,1.4194373401534526,0.008337595907928388,0.005873873873873873,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,521.19,13.285682849382448,588184.2
0.58,15.0,6.0,44125.0,86.41,88.26,17,4318,2015,6,3,2,2,2015,6,7,6,2,4,90.0,490.27777777777777,0.960111111111111,0.001958300283286119,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,-3280.77,13.279203745346699,588184.2
0.51,15.0,8.0,2999.0,6.0,10.77,22,4452,2017,11,12,6,4,2017,11,16,3,4,4,120.0,24.991666666666667,0.05,0.0020006668889629878,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,293.56,13.285296113272437,588184.2
0.83,20.0,6.0,562.0,6.06,13.87,50,662,2016,4,3,6,2,2016,4,6,2,2,3,120.0,4.683333333333334,0.050499999999999996,0.010782918149466192,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,570.88,13.285767251223348,588184.2
0.99,25.0,7.0,115395.0,1268.35,43.16,17,219,2018,3,18,6,1,2018,3,19,0,1,1,175.0,659.4,7.247714285714285,0.010991377442696824,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,4489.25,13.292400539035052,588184.2
0.77,4.0,4.0,34.0,6.92,10.52,4,1930,2015,7,16,3,3,2015,7,16,3,3,0,16.0,2.125,0.4325,0.20352941176470588,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,275.96,13.28526620520372,588184.2
0.49,7.0,4.45579342079292,5046.0,10.31,70.65,16,1124,2019,1,24,3,1,2019,1,27,6,1,3,31.19055394555044,161.77974936927495,0.33054879429195894,0.002043202536662703,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,621.03,13.285852427183219,588184.2
0.64,19.0,6.0,3652.0,6.83,13.29,48,2786,2017,6,4,6,2,2017,6,8,3,2,4,114.0,32.03508771929825,0.05991228070175439,0.001870208105147864,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,384.62,13.285450839256953,588184.2
0.68,19.0,8.0,587.0,6.92,10.38,22,4334,2019,4,9,1,2,2019,4,10,2,2,1,152.0,3.861842105263158,0.045526315789473686,0.011788756388415672,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,354.55,13.285399748006363,588184.2
0.39,37.0,28.0,5081960.0,34431.89,79.22,42,3510,2016,11,9,2,4,2016,11,12,5,4,3,1036.0,4905.3667953667955,33.235415057915056,0.006775317003675747,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,88578.53,13.4250774954126,588184.2
0.9,32.0,16.0,62438.0,444.91,63.36,14,3026,2018,8,30,3,3,2018,9,1,5,3,2,512.0,121.94921875,0.86896484375,0.007125628623594607,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,10185.93,13.301966459157706,588184.2
0.66,3.0,3.0,62.0,5.45,24.14,37,5238,2016,10,17,0,4,2016,10,20,3,4,3,9.0,6.888888888888889,0.6055555555555556,0.08790322580645162,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,275.79,13.285265916314604,588184.2
0.460924541128484,41.0,18.0,28778.0,97.34,87.21,25,3823,2019,1,20,6,1,2019,1,20,6,1,0,738.0,38.99457994579946,0.1318970189701897,0.0033824449232052263,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,-1312.68,13.282562903163639,588184.2
0.32,20.0,9.0,1802.0,6.87,18.32,37,3046,2018,9,4,1,3,2018,9,7,4,3,3,180.0,10.011111111111111,0.03816666666666667,0.0038124306326304106,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,235.96,13.285198228993464,588184.2
0.14,15.0,7.0,73.0,4.36,23.15,3,279,2015,9,24,3,3,2015,9,28,0,3,4,105.0,0.6952380952380952,0.041523809523809525,0.05972602739726028,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,158.28,13.28506620599163,588184.2
0.35,26.0,14.0,5275.0,6.27,70.73,35,449,2017,10,7,5,4,2017,10,7,5,4,0,364.0,14.491758241758241,0.017225274725274724,0.0011886255924170616,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,664.15,13.285925657422604,588184.2
0.78,26.0,7.0,10936.0,61.1,98.71,17,5200,2018,12,7,4,4,2018,12,11,1,4,4,182.0,60.08791208791209,0.33571428571428574,0.005587051938551573,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,-3867.84,13.27819953886619,588184.2
0.87,22.0,10.0,295.0,3.0,13.51,19,392,2019,7,17,2,3,2019,7,19,4,3,2,220.0,1.3409090909090908,0.013636363636363636,0.010169491525423728,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,516.76,13.285675324380609,588184.2
0.21,12.0,6.0,57899.0,91.71,84.18,49,3121,2018,1,20,5,1,2018,1,21,6,1,1,72.0,804.1527777777778,1.27375,0.0015839651807457813,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,1039.87,13.286563511884701,588184.2
0.51,19.0,8.0,622.0,3.63,10.06,19,1607,2018,5,12,5,2,2018,5,14,0,2,2,152.0,4.092105263157895,0.02388157894736842,0.005836012861736334,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,163.48,13.285075044327053,588184.2
0.79,38.0,28.0,7048.0,33.66,95.97,45,3617,2016,4,2,5,2,2016,4,4,0,2,2,1064.0,6.62406015037594,0.031635338345864655,0.004775822928490351,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4655.76,13.292681446393473,588184.2
0.460924541128484,19.0,6.0,457.0,5.93,15.74,6,5231,2017,7,23,6,3,2017,7,27,3,3,4,114.0,4.008771929824562,0.05201754385964912,0.012975929978118162,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,242.48,13.285209309430948,588184.2
0.17,26.0,12.0,171678.0,178.0,53.23,0,0,2019,7,22,0,3,2019,7,25,3,3,3,312.0,550.25,0.5705128205128205,0.0010368247533172567,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,False,True,1277.87,13.286967350686767,588184.2
0.5,11.0,8.0,1547.0,6.12,17.19,6,4645,2017,10,18,2,4,2017,10,20,4,4,2,88.0,17.579545454545453,0.06954545454545455,0.003956043956043956,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,303.2,13.28531249435821,588184.2
0.4,33.0,13.24333816445399,1665.0,7.05,12.15,29,4022,2015,8,22,5,3,2015,8,22,5,3,0,437.03015942698164,3.8098057172600823,0.01613160979380395,0.004234234234234234,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,219.68,13.285170561352798,588184.2
0.58,8.0,5.0,164.0,3.88,23.78,3,4915,2019,6,8,5,2,2019,6,8,5,2,0,40.0,4.1,0.097,0.023658536585365854,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,232.45,13.285192263860482,588184.2
0.19,19.03979367116966,8.0,1005.0,4.22,17.76,12,1762,2018,7,16,0,3,2018,7,17,1,3,1,152.3183493693573,6.598023180798605,0.027705132162159314,0.004199004975124378,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,148.13,13.285048954015702,588184.2
0.67,21.662532105237513,9.411456597707462,3328.0,5.21,23.34,32,3660,2015,6,25,3,2,2015,6,26,4,2,1,203.8759807048873,16.323649252323236,0.02555475138359497,0.0015655048076923077,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,388.85,13.285458026143973,588184.2
0.460924541128484,23.0,10.0,18060.0,43.3,32.61,2,21,2019,5,1,2,2,2019,5,1,2,2,0,230.0,78.52173913043478,0.18826086956521737,0.002397563676633444,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,423.9,13.285517575076542,588184.2
0.15,41.0,10.0,4207.0,8.45,13.95,16,4485,2018,8,30,3,3,2018,9,3,0,3,4,410.0,10.260975609756098,0.020609756097560973,0.00200855716662705,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,283.15,13.285278423437589,588184.2
0.82,12.0,6.0,372.0,5.77,24.75,17,298,2018,7,13,4,3,2018,7,16,0,3,3,72.0,5.166666666666667,0.08013888888888888,0.015510752688172041,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,483.07,13.285618095143532,588184.2
0.460924541128484,26.0,6.0,755.0,5.95,12.16,1,1231,2019,1,10,3,1,2019,1,12,5,1,2,156.0,4.839743589743589,0.038141025641025644,0.007880794701986755,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,129.94,13.285018035690534,588184.2
0.54,10.0,4.0,71.0,6.19,23.35,30,2962,2015,8,17,0,3,2015,8,17,0,3,0,40.0,1.775,0.15475,0.0871830985915493,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,-262.19,13.28435128293383,588184.2
0.27,13.0,7.0,16187.893879643467,107.5,27.64,47,2244,2019,4,26,4,2,2019,4,28,6,2,2,91.0,177.88894373234578,1.1813186813186813,0.00664076505561869,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,598.65,13.285814417352153,588184.2
0.31,29.766022567912756,14.0,22277.0,22.71,90.98,14,2883,2017,10,25,2,4,2017,10,29,6,4,4,416.7243159507786,53.45740372546739,0.05449645996343154,0.0010194370875791176,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,948.1,13.286407752817642,588184.2
0.54,11.0,7.0,252.0,5.69,13.52,53,3905,2018,6,17,6,2,2018,6,21,3,2,4,77.0,3.272727272727273,0.0738961038961039,0.02257936507936508,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,219.35,13.285170000514327,588184.2
0.18,17.0,10.0,768.0,4.3,24.85,35,1993,2018,9,15,5,3,2018,9,19,2,3,4,170.0,4.517647058823529,0.02529411764705882,0.005598958333333333,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,188.94,13.285118317049518,588184.2
0.58,3.0,2.0,36.0,4.39,11.99,37,2044,2017,7,10,0,3,2017,7,11,1,3,1,6.0,6.0,0.7316666666666666,0.12194444444444444,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,-161.67,13.284522243086908,588184.2
0.26,28.0,16.0,1626745.0,4480.78,82.99,44,1037,2019,5,7,1,2,2019,5,10,4,2,3,448.0,3631.1272321428573,10.00174107142857,0.0027544452265106083,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,-14524.63,13.259793158926968,588184.2
0.95,41.0,26.0,24039379.0,51410.27,28.73,29,3556,2017,6,6,1,2,2017,6,10,5,2,4,1066.0,22551.01219512195,48.22727016885553,0.0021385856098861786,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,11143428.25,16.277797760190268,588184.2
0.3,35.0,10.0,4175.0,17.67,13.81,0,592,2018,8,28,1,3,2018,9,1,5,3,4,350.0,11.928571428571429,0.050485714285714293,0.0042323353293413175,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,416.57,13.285505121912564,588184.2
0.31,6.0,4.0,44.0,5.08,13.25,22,921,2018,12,2,6,4,2018,12,5,2,4,3,24.0,1.8333333333333333,0.21166666666666667,0.11545454545454546,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,119.1,13.284999610021824,588184.2
0.28,30.0,10.0,1007887.0,2528.55,99.26,48,5215,2016,3,22,1,1,2016,3,26,5,1,4,300.0,3359.6233333333334,8.428500000000001,0.0025087633831967276,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,9718.72,13.301185351127819,588184.2
0.45,11.0,8.0,30937.0,149.98,33.38,12,1098,2018,7,1,6,3,2018,7,4,2,3,3,88.0,351.5568181818182,1.7043181818181816,0.004847916734007822,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,661.87,13.285921785457026,588184.2
0.96,19.037173659150035,8.0,31356.836639854708,41.01,80.33,30,2266,2015,9,7,0,3,2015,9,9,2,3,2,152.29738927320028,205.89214818124634,0.26927579123785095,0.0013078487626483363,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,-2592.92,13.280379058482232,588184.2
0.460924541128484,10.0,5.0,682.0,3.95,18.68,37,4390,2018,11,27,1,4,2018,11,27,1,4,0,50.0,13.64,0.079,0.005791788856304985,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,138.02,13.285031769731978,588184.2
0.06,38.0,7.0,220.0,3.89,20.79,10,1879,2016,1,26,1,1,2016,1,30,5,1,4,266.0,0.8270676691729323,0.01462406015037594,0.017681818181818184,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,178.8,13.285101082968875,588184.2
0.22,13.0,6.0,463.0,6.91,21.66,42,3673,2016,5,2,0,2,2016,5,6,4,2,4,78.0,5.935897435897436,0.08858974358974359,0.014924406047516199,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,220.14,13.285171343127109,588184.2
0.11,16.0,8.0,153774.0,95.59,53.76,30,798,2017,6,5,0,2,2017,6,5,0,2,0,128.0,1201.359375,0.746796875,0.0006216265428485961,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,900.68,13.286327258456609,588184.2
0.52,28.0,14.0,1230732.0,3077.11,70.04,36,1097,2016,3,5,5,1,2016,3,9,2,1,4,392.0,3139.622448979592,7.849770408163265,0.0025002275068820834,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,14451.13,13.3090691926098,588184.2
0.35,40.0,26.0,27779.0,83.42,37.31,45,3454,2016,4,28,3,2,2016,4,30,5,2,2,1040.0,26.710576923076925,0.08021153846153846,0.0030029878685337848,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,1287.7,13.286984026740855,588184.2
0.2,11.0,6.0,12634.0,13.72,55.67,1,1726,2015,8,18,1,3,2015,8,18,1,3,0,66.0,191.42424242424244,0.20787878787878789,0.0010859585246161152,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,387.99,13.285456564984365,588184.2
0.82,15.0,7.0,1505.0,5.32,22.1,46,4976,2016,10,8,5,4,2016,10,8,5,4,0,105.0,14.333333333333334,0.05066666666666667,0.0035348837209302326,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,568.08,13.285762495422512,588184.2
0.29,22.0,6.0,4947.0,6.41,12.54,6,3057,2015,2,13,4,1,2015,2,14,5,1,1,132.0,37.47727272727273,0.04856060606060606,0.0012957347887608652,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,197.84,13.285133443364701,588184.2
0.460924541128484,35.13136888649443,17.0,1529.0,4.08,18.23,18,3217,2015,1,16,4,1,2015,1,16,4,1,0,597.2332710704053,2.560138682929727,0.006831501521486779,0.002668410725964683,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,211.36,13.285156421329312,588184.2
0.5,38.0,10.0,26409.0,29.22,34.14,4,5278,2018,3,4,6,1,2018,3,6,1,1,2,380.0,69.49736842105263,0.07689473684210527,0.0011064409860274905,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,598.12,13.285813517191187,588184.2
0.57,23.0,6.0,1208.0,6.52,22.13,1,824,2015,8,4,1,3,2015,8,8,5,3,4,138.0,8.753623188405797,0.0472463768115942,0.005397350993377483,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,391.46,13.285462460580408,588184.2
0.38,37.0,16.0,287772.4034678511,29.96,19.83,5,1970,2018,2,4,6,1,2018,2,8,3,1,4,592.0,486.1020328848836,0.05060810810810811,0.00010411005238501621,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,502.03,13.285650302917652,588184.2
0.91,4.0,3.0,129.0,3.02,18.3,39,5123,2018,12,23,6,4,2018,12,24,0,4,1,12.0,10.75,0.25166666666666665,0.023410852713178294,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,257.13,13.28523420597836,588184.2
0.34,3.0,3.0,42.0,6.28,19.31,16,3279,2016,11,20,6,4,2016,11,24,3,4,4,9.0,4.666666666666667,0.6977777777777778,0.14952380952380953,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,198.58,13.28513470104802,588184.2
0.460924541128484,20.0,7.0,226.0,6.7,16.86,22,509,2018,3,12,0,1,2018,3,12,0,1,0,140.0,1.6142857142857143,0.047857142857142855,0.029646017699115044,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,147.46,13.285047815204848,588184.2
0.35,23.0,10.0,7442.0,15.78,73.06,42,5230,2017,4,20,3,2,2017,4,22,5,2,2,230.0,32.356521739130436,0.06860869565217391,0.002120397742542327,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,713.41,13.286009308597052,588184.2
0.59,33.0,13.0,184335.86856601288,5.13,19.73,9,3073,2016,6,19,6,2,2016,6,20,0,2,1,429.0,429.68733931471536,0.011958041958041957,2.7829635327662154e-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,362.73,13.2854136467161,588184.2
0.06,16.0,8.0,5389.0,4.53,60.43,49,4755,2017,6,21,2,2,2017,6,22,3,2,1,128.0,42.1015625,0.035390625,0.0008406012247170162,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,361.18,13.285411013112341,588184.2
0.05,25.0,9.0,1852.0,5.69,14.83,5,3489,2017,6,30,4,2,2017,6,30,4,2,0,225.0,8.231111111111112,0.025288888888888892,0.003072354211663067,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,196.65,13.285131420870643,588184.2
0.28,9.0,4.0,382.0,5.38,15.69,25,2196,2016,4,19,1,2,2016,4,23,5,2,4,36.0,10.61111111111111,0.14944444444444444,0.014083769633507853,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,201.54,13.28513973176548,588184.2
0.87,19.0,11.0,250244.0,1383.56,95.79,30,888,2017,2,21,1,1,2017,2,25,5,1,4,209.0,1197.3397129186603,6.6199043062200955,0.005528843848403958,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-4083.76,13.27782994535664,588184.2
0.6,19.039850687001945,8.0,393.0,3.39,22.18,1,5001,2018,12,11,1,4,2018,12,12,2,4,1,152.31880549601556,2.5801147712537724,0.02225595184363941,0.008625954198473283,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,274.93,13.285264454874266,588184.2
0.35,4.0,4.0,54.0,3.63,10.06,9,2833,2017,6,25,6,2,2017,6,25,6,2,0,16.0,3.375,0.226875,0.06722222222222222,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,120.62,13.285002193715393,588184.2
0.460924541128484,21.0,12.0,26572.0,106.32,94.08,28,612,2019,1,12,5,1,2019,1,16,2,1,4,252.0,105.44444444444444,0.4219047619047619,0.004001204275176877,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1015.86,13.286522762618553,588184.2
0.18,33.0,7.0,570354.0,229.08,65.75,51,2544,2015,9,14,0,3,2015,9,16,2,3,2,231.0,2469.064935064935,0.9916883116883117,0.0004016452939753206,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,1610.34,13.287531213449336,588184.2
0.45,28.0,14.0,254408.0,553.68,76.08,6,849,2017,3,31,4,1,2017,3,31,4,1,0,392.0,649.0,1.4124489795918367,0.0021763466557655417,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,3049.1,13.289967664524513,588184.2
0.78,22.0,11.0,1001.0,10.13,21.59,19,4147,2017,3,9,3,1,2017,3,12,6,1,3,242.0,4.136363636363637,0.041859504132231405,0.010119880119880121,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,451.91,13.285565160704369,588184.2
0.41,6.0,5.0,61.0,3.66,23.27,22,3139,2018,9,8,5,3,2018,9,8,5,3,0,30.0,2.033333333333333,0.12200000000000001,0.060000000000000005,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,249.01,13.285220406739912,588184.2
0.24,19.0,14.0,15872.0,23.98,53.66,33,3432,2016,2,8,0,1,2016,2,10,2,1,2,266.0,59.669172932330824,0.09015037593984962,0.0015108366935483871,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,360.26,13.285409449937797,588184.2
0.38,23.0,10.0,15641.0,17.68,54.93,0,861,2016,1,14,3,1,2016,1,17,6,1,3,230.0,68.00434782608696,0.0768695652173913,0.001130362508790998,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,621.83,13.285853785863571,588184.2
0.45,16.0,8.0,66688.0,161.67,36.02,0,4240,2016,1,2,5,1,2016,1,6,2,1,4,128.0,521.0,1.263046875,0.002424274232245681,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,568.34,13.28576293703354,588184.2
0.18,3.0,3.0,316.0,5.55,18.12,1,297,2017,2,20,0,1,2017,2,24,4,1,4,9.0,35.111111111111114,0.6166666666666667,0.017563291139240506,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,276.31,13.285266799975167,588184.2
0.3,12.0,7.0,3232.0,8.49,14.6,32,2728,2015,7,16,3,3,2015,7,18,5,3,2,84.0,38.476190476190474,0.10107142857142858,0.0026268564356435645,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,230.68,13.285189255788474,588184.2
